aX,aY,aZ,gX,gY,gZ
0.357,-1.450,-0.157,-21.667,-31.494,-17.578
0.416,-1.325,-0.205,-13.489,-24.170,0.854
0.465,-1.118,-0.296,-4.944,-16.052,14.282
0.505,-0.878,-0.411,7.446,-9.705,24.109
0.516,-0.652,-0.511,17.212,-3.723,33.020
0.533,-0.439,-0.606,23.071,1.404,39.856
0.574,-0.235,-0.721,26.123,6.409,42.847
0.592,-0.071,-0.811,26.123,9.033,42.847
0.577,0.047,-0.865,25.635,8.789,41.626
0.567,0.126,-0.973,25.696,8.911,40.833
0.564,0.167,-1.077,21.545,7.202,40.588
0.611,0.145,-1.145,13.550,5.798,36.377
0.628,0.117,-1.154,2.808,5.127,25.635
0.587,0.076,-1.091,-6.531,1.770,13.672
0.540,-0.014,-0.991,-12.024,-0.854,5.371
0.498,-0.098,-0.898,-15.869,-1.709,1.770
0.503,-0.184,-0.853,-16.418,-1.221,0.610
0.515,-0.256,-0.813,-14.526,-0.183,-1.953
0.490,-0.338,-0.769,-9.155,0.061,-7.629
0.448,-0.393,-0.736,-4.272,-0.854,-7.812
0.410,-0.416,-0.752,0.305,-1.587,-7.263
0.398,-0.432,-0.788,4.395,-2.380,-3.235
0.377,-0.432,-0.826,6.714,-2.625,0.244
0.389,-0.414,-0.866,6.592,-2.686,4.578
0.438,-0.370,-0.871,2.441,0.488,9.705
0.492,-0.322,-0.863,-2.258,4.211,12.695
0.543,-0.256,-0.831,-3.967,5.432,13.855
0.582,-0.220,-0.796,-3.662,7.263,13.855
0.596,-0.188,-0.779,-0.488,6.470,10.254
0.609,-0.171,-0.795,4.639,4.517,4.761
0.592,-0.174,-0.843,10.864,2.197,-3.235
0.530,-0.190,-0.869,14.526,-1.282,-9.460
0.457,-0.217,-0.885,13.611,-3.235,-11.414
0.420,-0.236,-0.918,9.277,-2.930,-9.033
0.404,-0.248,-0.949,2.991,-1.038,-4.883
0.420,-0.260,-0.937,-3.052,0.488,-1.404
0.434,-0.261,-0.909,-7.996,1.831,0.122
0.457,-0.276,-0.858,-10.193,2.197,0.427
0.478,-0.271,-0.829,-9.094,2.197,-0.305
0.497,-0.283,-0.811,-5.249,1.038,-1.587
0.518,-0.284,-0.821,-0.916,-1.282,-3.052
0.536,-0.291,-0.835,2.014,-2.319,-5.249
0.533,-0.299,-0.828,2.625,-2.869,-6.470
0.521,-0.308,-0.813,1.892,-2.747,-6.470
0.497,-0.317,-0.805,1.160,-2.136,-5.127
0.495,-0.309,-0.814,-0.183,-0.488,-2.136
0.504,-0.297,-0.839,-2.075,1.282,0.671
0.510,-0.273,-0.829,-3.418,1.465,2.136
0.521,-0.269,-0.821,-2.930,1.770,1.343
0.539,-0.262,-0.832,-2.502,1.709,0.183
0.550,-0.251,-0.854,-2.686,1.892,-1.709
0.547,-0.244,-0.865,-3.601,1.343,-4.272
0.528,-0.248,-0.867,-5.066,0.732,-7.080
0.519,-0.261,-0.833,-6.531,0.305,-9.338
0.500,-0.284,-0.804,-6.470,0.000,-10.864
0.480,-0.299,-0.797,-4.944,-1.221,-10.376
0.472,-0.316,-0.815,-3.479,-2.075,-8.972
0.464,-0.325,-0.833,-3.967,-3.174,-5.920
0.467,-0.322,-0.853,-5.920,-3.479,-2.563
0.484,-0.311,-0.862,-8.789,-3.479,0.183
0.505,-0.291,-0.868,-12.207,-2.991,2.502
0.521,-0.274,-0.857,-14.954,-3.113,2.441
0.521,-0.260,-0.837,-15.686,-4.639,0.610
0.522,-0.270,-0.808,-14.343,-6.531,-1.648
0.525,-0.290,-0.797,-11.963,-7.568,-3.967
0.529,-0.308,-0.805,-10.132,-8.240,-5.737
0.527,-0.324,-0.810,-9.888,-8.606,-6.653
0.527,-0.335,-0.796,-11.169,-8.484,-6.775
0.524,-0.338,-0.787,-12.939,-6.592,-6.409
0.534,-0.333,-0.789,-15.198,-4.150,-4.700
0.541,-0.329,-0.785,-17.273,-2.502,-2.930
0.552,-0.316,-0.792,-19.104,-1.343,-1.831
0.547,-0.307,-0.794,-20.447,-0.671,-1.831
0.534,-0.313,-0.770,-19.836,-0.671,-2.869
0.524,-0.333,-0.747,-17.029,-0.549,-4.700
0.514,-0.351,-0.756,-12.512,-0.732,-6.836
0.509,-0.359,-0.782,-7.751,-2.136,-8.423
0.514,-0.363,-0.816,-4.761,-3.662,-10.071
0.524,-0.370,-0.838,-4.761,-4.395,-10.803
0.528,-0.365,-0.846,-7.202,-3.845,-10.925
0.529,-0.360,-0.831,-10.193,-3.601,-10.986
0.518,-0.361,-0.795,-12.146,-4.211,-11.475

-0.317,0.029,1.515,23.499,55.664,3.662
-0.117,0.033,0.978,24.536,3.845,27.344
0.071,-0.221,0.680,34.973,-38.818,33.325
0.227,-0.079,0.707,5.188,-14.832,10.742
0.023,0.061,0.861,-25.696,5.371,-15.686
-0.070,0.000,0.971,-30.151,14.343,-24.414
-0.191,-0.076,1.032,-17.212,18.372,-17.883
-0.186,-0.073,1.025,2.686,1.160,-8.667
-0.136,-0.074,0.972,17.151,-18.127,-1.343
-0.096,-0.086,0.940,20.996,-23.437,0.549
-0.086,-0.094,0.957,15.198,-15.015,0.244
-0.090,-0.098,0.990,7.874,-3.296,-0.183
-0.075,-0.095,0.974,3.235,1.892,-0.183
-0.040,-0.094,0.949,-0.244,0.305,0.183
-0.049,-0.105,0.951,-4.272,-2.014,-0.549
-0.063,-0.096,0.970,-7.935,-2.747,-1.587
-0.066,-0.088,0.982,-8.179,-4.456,-4.700
-0.073,-0.068,0.969,-7.629,-5.981,-6.470
-0.090,-0.067,0.953,-6.531,-5.005,-6.897
-0.117,-0.057,0.961,-5.615,-4.395,-7.080
-0.130,-0.066,0.981,-3.357,-3.967,-5.737
-0.107,-0.080,0.981,-1.404,-2.869,-3.662
-0.086,-0.073,0.963,-0.977,-1.831,-2.563
-0.070,-0.063,0.953,-0.916,-1.892,-2.869
-0.066,-0.074,0.951,-0.427,-1.892,-3.479
-0.073,-0.072,0.961,-0.854,-2.625,-3.662
-0.085,-0.068,0.973,-1.282,-3.967,-4.089
-0.083,-0.062,0.975,-2.258,-4.883,-4.395
-0.078,-0.054,0.985,-4.517,-4.272,-4.517
-0.084,-0.046,0.995,-6.470,-2.258,-5.371
-0.089,-0.056,1.045,-7.385,-0.061,-5.920
-0.108,-0.074,1.107,-5.005,2.991,-4.944
-0.114,-0.089,1.124,1.892,4.211,-3.113
-0.094,-0.090,1.142,10.864,0.183,-0.732
-0.080,-0.097,1.161,18.494,-3.479,1.160
-0.072,-0.100,1.177,22.949,-5.005,1.404
-0.065,-0.081,1.224,25.452,-3.845,0.366
-0.083,-0.095,1.265,28.625,-0.854,-1.892
-0.103,-0.101,1.288,33.081,0.977,-2.136
-0.107,-0.095,1.302,40.100,-0.671,-1.160
-0.116,-0.082,1.301,49.194,-4.272,0.793
-0.108,-0.087,1.285,59.326,-7.324,3.479
-0.112,-0.071,1.267,67.871,-6.775,5.554
-0.139,-0.081,1.279,74.707,-3.967,6.348
-0.172,-0.107,1.315,81.055,-0.793,8.789
-0.201,-0.098,1.385,86.731,1.587,13.184
-0.240,-0.121,1.471,96.619,3.723,19.287
-0.262,-0.193,1.502,108.398,6.287,30.518
-0.230,-0.151,1.544,114.014,10.620,45.471
-0.212,-0.052,1.614,120.117,16.052,52.856
-0.256,-0.058,1.666,133.362,22.034,52.979
-0.307,-0.051,1.717,150.879,25.452,59.143
-0.307,-0.034,1.745,170.227,27.283,69.824
-0.273,-0.032,1.691,194.214,26.489,79.529
-0.305,0.021,1.652,219.177,23.193,88.379
-0.330,-0.120,1.594,249.756,18.005,96.985
-0.348,-0.156,1.474,268.616,15.076,109.497
-0.329,-0.084,1.444,270.264,16.052,117.493
-0.299,-0.128,1.472,268.860,20.508,122.131
-0.263,-0.091,1.482,268.799,29.846,130.188
-0.215,0.066,1.644,270.081,43.640,136.658
-0.171,0.001,1.719,289.856,57.434,135.864
-0.122,-0.014,1.674,313.293,62.317,138.611
-0.048,-0.010,1.668,328.491,53.223,138.367
-0.016,-0.145,1.588,346.313,33.875,127.197
-0.068,-0.220,1.487,363.464,14.099,112.610
-0.216,-0.353,1.415,376.831,0.671,103.577
-0.272,-0.411,1.239,386.475,-1.709,110.596
-0.261,-0.350,1.143,383.972,12.573,130.127
-0.220,-0.353,0.973,377.808,43.335,145.081
-0.057,-0.286,0.729,364.868,74.951,155.945
0.038,-0.229,0.737,339.417,97.839,153.076
0.001,-0.295,0.821,321.777,106.689,133.362
-0.028,-0.313,0.944,325.012,98.816,119.080
-0.103,-0.338,0.996,341.980,88.989,112.061
-0.157,-0.374,0.775,369.995,81.970,114.258
-0.200,-0.300,0.469,388.733,80.933,129.395
-0.260,-0.227,0.218,395.691,93.567,148.926
-0.251,-0.147,-0.055,390.564,111.938,174.133
-0.198,0.000,-0.248,371.582,129.333,199.646
-0.128,0.089,-0.386,349.365,143.616,214.172
0.019,0.177,-0.518,328.552,144.897,219.360
0.115,0.283,-0.521,304.932,139.465,216.003
0.127,0.319,-0.440,293.762,133.850,200.684
0.180,0.388,-0.314,296.204,119.812,187.744
0.229,0.501,-0.116,302.490,111.755,179.565
0.268,0.513,-0.114,320.496,111.938,169.983
0.315,0.632,-0.236,339.966,102.295,164.734
0.342,0.791,-0.450,356.079,86.975,156.860
0.376,0.940,-0.868,363.342,69.214,144.287
0.381,1.091,-1.301,344.177,57.251,134.033
0.185,1.215,-1.493,302.429,56.335,135.498
-0.143,1.427,-1.584,269.470,52.979,151.978
-0.416,1.905,-1.612,219.482,62.073,194.397
-0.371,2.012,-1.866,157.410,63.293,241.272
-0.092,2.255,-2.237,111.389,57.800,241.333
0.376,2.091,-2.698,94.177,45.227,196.106
0.608,1.907,-2.920,79.102,32.959,114.441
0.865,1.704,-2.919,63.721,2.075,60.059
0.951,1.175,-2.534,36.011,-30.762,22.949
0.841,0.791,-1.851,-8.850,-58.289,-34.851
0.703,0.389,-1.186,-33.142,-79.834,-84.900
0.576,0.054,-0.770,-33.203,-90.515,-125.916
0.383,-0.250,-0.511,-27.893,-91.003,-130.188
0.279,-0.511,-0.449,-21.667,-91.370,-111.755
0.213,-0.579,-0.552,-24.536,-80.627,-86.243
0.190,-0.578,-0.664,-33.508,-61.890,-53.955
0.221,-0.558,-0.609,-41.565,-45.776,-20.630
0.303,-0.514,-0.574,-42.358,-31.555,-0.793
0.428,-0.424,-0.609,-38.269,-22.949,10.010
0.579,-0.383,-0.645,-32.410,-18.616,14.893
0.655,-0.354,-0.662,-28.503,-15.625,15.503
0.672,-0.297,-0.637,-26.245,-17.151,14.709
0.691,-0.265,-0.578,-24.414,-15.564,12.817
0.700,-0.287,-0.492,-20.203,-9.766,11.047
0.697,-0.285,-0.399,-15.503,-6.287,14.343
